4969, 17, -8, 121
4984, 16, -9, 126
4999, 14, -10, 134
5014, 1, -11, 147
5028, -8, -14, 152
5044, -8, -7, 156
5058, -9, -4, 155
5072, -5, -4, 154
5116, -3, -15, 168
5131, -4, -18, 164
5145, -9, -25, 145
5160, -13, -28, 130
5175, -17, -26, 107
5190, -18, -23, 101
5221, -19, -14, 105
5235, -19, -12, 112
5251, -23, -9, 132
5278, -25, -15, 144
5293, -22, -24, 129
5308, -20, -27, 123
5322, -17, -27, 103
5342, -19, -24, 97
5356, -21, -24, 97
5371, -24, -22, 96
5386, -25, -19, 97
5401, -27, -18, 97
5415, -27, -15, 95
5431, -27, -16, 92
5445, -23, -17, 88
5460, -22, -20, 86
5475, -20, -25, 79
5490, -17, -24, 77
5505, -15, -23, 79
5519, -17, -21, 80
5534, -20, -18, 81
5549, -23, -17, 84
5564, -26, -17, 90
5578, -25, -24, 101
5594, -26, -29, 105
5608, -29, -37, 112
5623, -40, -42, 114
5638, -49, -47, 113
5653, -51, -41, 106
5667, -49, -33, 108
5695, -18, -13, 120
5709, -12, -9, 119
5729, -8, -10, 113
5743, -15, -6, 107
5786, -30, -11, 125
5837, -11, -32, 126
5853, -8, -36, 124
5867, -3, -38, 122
5881, -3, -36, 117
5897, -3, -29, 108
5911, -3, -26, 105
5926, -4, -24, 106
5941, -4, -23, 109
5955, -4, -23, 112
5970, -4, -21, 123
5985, -2, -21, 127
6000, 1, -20, 139
6014, 3, -20, 139
6029, 7, -22, 135
6061, 10, -11, 126
6075, 10, -8, 126
6089, 11, -4, 127
6105, 14, 0, 126
6119, 15, 1, 125
6134, 15, -3, 125
6161, 15, -6, 128
6176, 16, -15, 131
6191, 15, -8, 121
6209, 14, -8, 131
6223, 10, -8, 136
6238, -7, -13, 146
6252, -9, -8, 148
6266, -9, 4, 152
6281, -7, 11, 153
6295, -3, 14, 156
6309, -1, 12, 163
6325, -1, 11, 165
6339, -3, 4, 162
6353, -5, -8, 153
6368, -8, -16, 141
6382, -12, -20, 121
6396, -14, -19, 117
6411, -16, -11, 114
6425, -18, -8, 120
6468, -22, -12, 147
6482, -20, -17, 134
6497, -19, -18, 127
6511, -19, -18, 122
6525, -20, -22, 114
6540, -20, -25, 112
6555, -23, -29, 110
6582, -23, -30, 106
6596, -26, -25, 109
6610, -26, -23, 108
6629, -28, -19, 106
6643, -29, -19, 107
6658, -28, -21, 99
6672, -28, -19, 96
6687, -27, -20, 92
6702, -26, -16, 79
6716, -24, -14, 76
6730, -24, -12, 68
6745, -23, -12, 68
6759, -25, -14, 71
6773, -27, -13, 75
6788, -29, -11, 81
6802, -29, -15, 94
6816, -28, -17, 99
6848, -21, -26, 107
6862, -32, -41, 94
6877, -34, -46, 86
6891, -34, -44, 81
6905, -27, -33, 90
6920, -23, -27, 96
6935, -18, -30, 117
6949, -20, -37, 124
6964, -22, -38, 128
6990, -26, -10, 112
7005, -26, 0, 112
7023, -24, 1, 123
7038, -16, -22, 135
7053, -11, -31, 145
7068, -4, -43, 150
7083, -2, -41, 143
7127, 4, -25, 107
7141, 7, -31, 110
7156, 10, -36, 115
7171, 11, -30, 126
7186, 13, -24, 129
7200, 13, -15, 134
7216, 10, 3, 146
7230, 11, 6, 148
7245, 14, -1, 141
7260, 17, -8, 137
7275, 22, -17, 126
7289, 23, -22, 117
7305, 23, -17, 115
7319, 19, -14, 119
7334, 15, -10, 124
7349, 9, -2, 128
7364, 4, 0, 129
7378, -3, 0, 111
7394, -9, 2, 102
7421, -31, 8, 89
7436, -30, 14, 96
7451, -20, 8, 132
7470, -24, 18, 175
7485, -25, 13, 199
7500, -29, 2, 187
7515, -29, 5, 164
7530, -30, 5, 142
7544, -32, -3, 117
7560, -32, -4, 113
7574, -33, -7, 114
7589, -35, -13, 120
7604, -39, -30, 138
7636, -37, -30, 150
7651, -35, -18, 148
7666, -35, -1, 146
7681, -35, -3, 144
7696, -32, -17, 130
7710, -30, -25, 119
7726, -27, -26, 110
7740, -26, -15, 110
7784, -25, 6, 124
7798, -25, 2, 132
7814, -23, 4, 131
7829, -21, 6, 126
7843, -16, 7, 110
